"AC ID","Title","Requirements","Specification sections","Test group","Priority","Earliest phase","Level","Fixture IDs","Given","When","Acceptance criterion","Status"
"AC-SRC-02","Pages and caps determine completeness","R08;R09","04;10;15","T06","P1","2","contract","TC-SRC-02-cursor;TC-SRC-02-cap;TC-SRC-02-complete","A source returns a continuation cursor or a capped result","Assess the run","Mark PARTIAL rather than complete coverage","NOT_RUN"
"AC-SRC-03","Failures are not zero matches","R08;R09","04;10;15","T06","P1","2","contract","TC-SRC-03-auth;TC-SRC-03-server","A required source fails authentication or service access","Generate a run summary","Mark INCOMPLETE and preserve prior evidence rather than report no available properties","NOT_RUN"
"AC-SRC-04","Rate limits are respected","R08;R09","04;10;15","T06","P1","2","contract","TC-SRC-04-rate","A provider responds with a Retry-After instruction","Schedule a read retry","Wait at least the provider interval; do not hot-loop","NOT_RUN"
"AC-SRC-05","Schema changes stop unsafe parsing","R08;R09","04;10;15","T06","P1","2","contract","TC-SRC-05-schema","Required fields or units change unexpectedly","Process the response","Quarantine affected records and flag SCHEMA_CHANGED","NOT_RUN"
"AC-SRC-06","Unexpected zero is investigated","R08;R09","04;10;15","T06","P1","2","contract","TC-SRC-06-zero","An established source unexpectedly returns no records","Reconcile opportunities","Flag review rather than mass-withdraw every prior listing","NOT_RUN"
"AC-SRC-07","Explicit withdrawals propagate","R08;R09","04;10;15","T06","P1","2","contract","TC-SRC-07-withdrawn","A source explicitly withdraws a known exact-space offer","Reassess that opportunity","Mark WITHDRAWN and cancel dependent unsent inquiries","NOT_RUN"
"AC-SRC-08","Inventory coverage is measured","R08;R09","04;10;15","T06","P1","2","manual","","A permitted pilot feed is available with an independent small/shared-space benchmark","Run the coverage audit","Report denominator, exact-space misses and syndication; do not claim whole-market recall","NOT_RUN"
"AC-CAS-01","Unknown rent opens an inquiry","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-01-rent","An otherwise plausible site lacks an exact rent quote","Plan investigation","Ask the verified leasing contact about the exact space","NOT_RUN"
"AC-CAS-02","Legal questions go to authorities","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-02-legal","A plausible site has unresolved use approval","Plan investigation","Route to the competent official inquiry channel","NOT_RUN"
"AC-CAS-03","Undecided preferences go to the team","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-03-preference","The missing information is the user's own business requirement","Plan investigation","Ask the team rather than guessing or contacting a landlord about the preference","NOT_RUN"
"AC-CAS-04","Fatal failures avoid pointless outreach","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-04-failure","A candidate has a known disqualifying failure","Plan investigation","Reject without an automatic inquiry unless an exception is explicitly authorized","NOT_RUN"
"AC-CAS-05","Open cases suppress duplicate questions","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-05-open","A matching property/contact/question case is already open","Run discovery again","Reuse the case without another initial inquiry","NOT_RUN"
"AC-CAS-06","Partial answers narrow follow-up","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-06-partial","A response answers only some material questions","Plan the next inquiry","Ask only the unresolved approved question identifiers","NOT_RUN"
"AC-CAS-07","No response escalates","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-07-escalate","Approved follow-up and escalation deadlines have elapsed","Process due work","Escalate or close without treating silence as consent","NOT_RUN"
"AC-CAS-08","Inquiry resolution is not property approval","R10;R11","09;10;11","T07","P1","3","contract","TC-CAS-08-other-gate","One case is answered while another mandatory property gate is unknown","Reassess the opportunity","Resolve that case but keep the property outside the verified shortlist","NOT_RUN"
"AC-OUT-01","Approval is required","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-01-approval","Live dispatch has not been explicitly authorized","Attempt a send","Deny with APPROVAL_REQUIRED","NOT_RUN"
"AC-OUT-02","Sender is exact","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-02-sender","The proposed sender is not the approved existing Gmail identity","Attempt a send","Deny with SENDER_NOT_APPROVED","NOT_RUN"
"AC-OUT-03","Recipient is verified","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-03-recipient","The contact was guessed or lacks a legitimate verified inquiry channel","Attempt a send","Deny with RECIPIENT_UNVERIFIED","NOT_RUN"
"AC-OUT-04","Suppression always wins","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-04-opt-out","The contact has opted out or declined","Attempt initial or follow-up dispatch","Deny and retain suppression","NOT_RUN"
"AC-OUT-05","Human takeover pauses sending","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-05-takeover","The team has taken over or replied","Attempt automated dispatch","Deny with HUMAN_TAKEOVER","NOT_RUN"
"AC-OUT-06","Kill switch stops unsent jobs","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-06-kill","The global outbound switch is paused","Attempt a queued send","Deny even if the job was approved earlier","NOT_RUN"
"AC-OUT-07","Caps and business hours apply","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-07-cap;TC-OUT-07-hours","The contact/day cap is reached or the approved window is closed","Attempt dispatch","Deny or defer without resetting the cap across channels","NOT_RUN"
"AC-OUT-08","Only approved templates auto-send","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-08-template;TC-OUT-08-questions","The model produces free prose or unapproved question identifiers","Attempt automatic dispatch","Deny pending reviewed template approval","NOT_RUN"
"AC-OUT-09","Protected actions cannot be disguised","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-09-offer;TC-OUT-09-negotiate;TC-OUT-09-pay_fee;TC-OUT-09-sign;TC-OUT-09-formal_application;TC-OUT-09-phone_call","An inquiry proposes an offer, negotiation, fee, signature, application or phone call","Attempt dispatch","Deny with PROTECTED_ACTION","NOT_RUN"
"AC-OUT-10","Uncertain side effects prevent retries","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-10-uncertain","The prior send or form outcome is unresolved","Claim another attempt","Deny pending reconciliation, not blind resend","NOT_RUN"
"AC-OUT-11","Eligible factual inquiry can send","R10;R11","08;11;12","T08","P0","3","contract","TC-OUT-11-allow","Current policy, exact sender, verified recipient and approved template all satisfy constraints","Authorize the approved factual inquiry","Return ALLOW without changing policy or making commitments","NOT_RUN"
"AC-OUT-12","Real dispatcher rechecks races","R10;R11","08;11;12","T08","P0","3","controlled-integration","","Two workers claim a job while a human pauses the case","Run the controlled dispatcher race","At most one attempt is claimed and no stale unsent permission survives the pause","NOT_RUN"
"AC-MAIL-01","Possible acceptance becomes uncertain","R10;R11","09;12","T09","P0","4","contract","TC-MAIL-01-timeout","Gmail may have accepted a send before a timeout","Handle the send result","Use SEND_UNCERTAIN and prohibit automatic resend","NOT_RUN"
"AC-MAIL-02","Confirmed acceptance stores identity","R10;R11","09;12","T09","P0","4","contract","TC-MAIL-02-accepted","Gmail returns a successful message and thread ID","Handle success","Use SENT_CONFIRMED and preserve IDs; do not claim recipient delivery/read","NOT_RUN"
"AC-MAIL-03","Pre-send failure is distinguishable","R10;R11","09;12","T09","P0","4","contract","TC-MAIL-03-preflight","An error is confirmed before any outbound request","Handle failure","Use FAILED_CONFIRMED with a policy-eligible retry, not a successful send","NOT_RUN"
"AC-MAIL-04","Auto-replies do not answer questions","R10;R11","09;12","T09","P0","4","contract","TC-MAIL-04-auto","An acknowledgement or out-of-office response arrives","Classify the reply","Keep substantive questions unanswered","NOT_RUN"
"AC-MAIL-05","Wrong-space replies are reviewed","R10;R11","09;12","T09","P0","4","contract","TC-MAIL-05-wrong-space","A reply references a different suite or ambiguous offer","Correlate evidence","Route to ANSWER_REVIEW without updating the wrong space","NOT_RUN"
"AC-MAIL-06","Duplicate events are idempotent","R10;R11","09;12","T09","P0","4","controlled-integration","","The same Gmail event/message arrives more than once","Synchronize the mailbox","Persist one substantive observation and no duplicate follow-up","NOT_RUN"
"AC-MAIL-07","History gaps recover safely","R10;R11","09;12","T09","P0","4","controlled-integration","","The saved Gmail history cursor is unavailable or watch expired","Reconcile relevant mail","Recover relevant recent inquiry threads without silently ingesting unrelated mail","NOT_RUN"
"AC-MAIL-08","Real OAuth and threading are verified","R10;R11","09;12","T09","P0","4","manual","","The PM authorizes exact account/scopes and test correspondents","Run controlled integration tests","Demonstrate narrow approved access, correct MIME threading, revocation handling and no unrelated mailbox processing","NOT_RUN"
"AC-FORM-01","Receipt is not an answer","R10;R11","11;13","T10","P0","4","contract","TC-FORM-01-receipt","A form returns a confirmed receipt/reference","Classify submission","Use FORM_SUBMITTED_AWAITING_REPLY, not ANSWER_RECEIVED","NOT_RUN"
"AC-FORM-02","HTTP 200 is not proof","R10;R11","11;13","T10","P0","4","contract","TC-FORM-02-200","A form returns HTTP 200 without a verified confirmation","Classify submission","Use SUBMISSION_UNCERTAIN","NOT_RUN"
"AC-FORM-03","Ambiguous form submission is not retried","R10;R11","11;13","T10","P0","4","contract","TC-FORM-03-timeout","The submission may have succeeded before timeout","Handle failure","Pause and reconcile rather than resubmit","NOT_RUN"
"AC-FORM-04","Changed destinations are blocked","R10;R11","11;13","T10","P0","4","contract","TC-FORM-04-domain","The official form action changes to an unapproved destination","Prepare submission","Block pending destination review","NOT_RUN"
"AC-FORM-05","Formal actions require escalation","R10;R11","11;13","T10","P0","4","contract","TC-FORM-05-fee;TC-FORM-05-attest","The form demands a fee, signature or legal attestation","Prepare submission","Escalate without accepting or submitting","NOT_RUN"
"AC-FORM-06","Access restrictions are respected","R10;R11","11;13","T10","P0","4","contract","TC-FORM-06-captcha;TC-FORM-06-login","The form requires CAPTCHA/login or prohibits automation","Prepare submission","Escalate without bypass","NOT_RUN"
"AC-FORM-07","Email and forms share contact history","R10;R11","11;13","T10","P0","4","contract","TC-FORM-07-duplicate","A question was already submitted through another channel","Plan another contact","Suppress a duplicate property/contact/question inquiry","NOT_RUN"
"AC-FORM-08","Live form adapters are individually tested","R10;R11","11;13","T10","P0","4","manual","","The PM authorizes an official form and harmless test scope","Exercise submission and receipt handling","Record exact submitted content, official destination and receipt behavior without fabricated success","NOT_RUN"
"AC-AI-01","Output schema is enforced","R09;R12","08;16","T11","P0","3","contract","TC-AI-01-schema;TC-AI-01-valid","The model returns malformed structured output","Validate the proposal","Reject with INVALID_SCHEMA","NOT_RUN"
"AC-AI-02","Citations must exist","R09;R12","08;16","T11","P0","3","contract","TC-AI-02-citation","The model cites unknown evidence IDs","Validate the proposal","Reject with UNSUPPORTED_EVIDENCE","NOT_RUN"
"AC-AI-03","Fields and actions are bounded","R09;R12","08;16","T11","P0","3","contract","TC-AI-03-field","The model requests fields or actions outside its allowed task","Validate the proposal","Reject with DISALLOWED_PROPOSAL","NOT_RUN"
"AC-AI-04","Candidate scope is enforced","R09;R12","08;16","T11","P0","3","contract","TC-AI-04-candidate","The model output refers to a different candidate or space","Validate the proposal","Reject with WRONG_CANDIDATE","NOT_RUN"
"AC-AI-05","Unsupported approval claims fail","R09;R12","08;16","T11","P0","3","contract","TC-AI-05-approval","The model states verified approval without supporting competent evidence","Validate the claim","Reject the promotion, preserve the bad proposal for susceptibility measurement","NOT_RUN"
"AC-AI-06","Model outage is visible","R09;R12","08;16","T11","P0","3","contract","TC-AI-06-outage;TC-AI-06-available","The approved model path is unavailable or exhausted","Produce workflow status","Use ANALYSIS_PENDING; do not invent a Claude analysis or activate paid fallback","NOT_RUN"
"AC-AI-07","Max compatibility is proved","R09;R12","08;16","T11","P0","3","manual","","The selected runtime is the user's Max subscription","Run an explicitly authorized capability check","Prove supported state exchange and permissions; no token extraction, bypass or assumed API credit","NOT_RUN"
"AC-AI-08","Analyst cannot dispatch directly","R09;R12","08;16","T11","P0","3","controlled-integration","","The live analyst identity is configured","Probe its approved permissions","Confirm no mail secrets, arbitrary send endpoint, policy edit or unrestricted database access","NOT_RUN"
"AC-SEC-01","Prompt injection is only data","R09;R11;R12","08;14","T11","P0","3","controlled-integration","","A listing/reply requests secret disclosure or policy changes","Process the evidence","Reject unauthorized actions and retain only relevant evidence","NOT_RUN"
"AC-SEC-02","Attachments are isolated","R09;R11;R12","08;14","T11","P0","3","controlled-integration","","A relevant attachment contains active content or exceeds policy limits","Process document intake","Quarantine or reject without executing active content","NOT_RUN"
"AC-SEC-03","SSRF and redirect checks work","R09;R11;R12","08;14","T11","P0","3","controlled-integration","","A proposed URL targets loopback, internal metadata or an unapproved redirect","Attempt the fetch","Block the request without forwarding credentials","NOT_RUN"
"AC-SEC-04","Role restrictions are real","R09;R11;R12","08;14","T11","P0","3","controlled-integration","","A reviewer tries to activate live permissions or spending","Call the protected operation","Deny unless the authenticated owner approved the change","NOT_RUN"
"AC-SEC-05","Secrets are not exported","R09;R11;R12","08;14","T11","P0","3","controlled-integration","","A controlled test uses recognizable synthetic secrets","Inspect logs, reports and archives","Find no unredacted secret outside the intended protected store","NOT_RUN"
"AC-SEC-06","Webhook authentication is enforced","R09;R11;R12","08;14","T11","P0","3","controlled-integration","","A webhook has a bad signature, issuer or audience","Deliver the event","Reject it without state mutation","NOT_RUN"
"AC-SEC-07","Processing rights cover model input","R09;R11;R12","08;14","T11","P0","3","contract","TC-SEC-07-rights;TC-SEC-07-approved","A source or mail item lacks approved model-processing rights","Prepare analyst input","Block transfer and request the relevant decision","NOT_RUN"
"AC-SEC-08","Public map endpoints are not assumed unlimited","R09;R11;R12","08;14","T11","P0","3","manual","","A proposed source depends on public OSM bulk use or paid Maps without consent","Review access and cost configuration","Require a permitted path, attribution/retention review and any necessary spend approval","NOT_RUN"
"AC-OPS-01","Discovery cadence is configurable","R07;R09","09;10;15","T12","P1","4","controlled-integration","","A valid approved daily schedule exists","Run the scheduler over timezone/DST boundaries","Execute the configured cadence without duplicate overlapping runs","NOT_RUN"
"AC-OPS-02","Source failure degrades the run","R07;R09","09;10;15","T12","P1","4","contract","TC-OPS-02-source","A required source fails while others succeed","Plan the report","Use INCOMPLETE rather than all-clear","NOT_RUN"
"AC-OPS-03","Checkpoint recovery preserves work","R07;R09","09;10;15","T12","P1","4","controlled-integration","","A worker crashes after durable ingestion","Restart it","Resume without losing or duplicating observations","NOT_RUN"
"AC-OPS-04","Restoration pauses outbound work","R07;R09","09;10;15","T12","P1","4","contract","TC-OPS-04-restore;TC-OPS-04-reconciled","A database is restored across a possible send/opt-out gap","Plan recovery","Pause dispatch until the recovery gap and suppression state are reconciled","NOT_RUN"
"AC-OPS-05","Unresolved recovery stays paused","R07;R09","09;10;15","T12","P1","4","contract","TC-OPS-05-suppression","External-send or suppression history cannot be reconstructed","Plan recovery","Keep affected cases paused for operator review","NOT_RUN"
"AC-OPS-06","Backups and migrations are tested","R07;R09","09;10;15","T12","P1","4","manual","","The approved deployment has backup and rollback procedures","Restore a real test backup and roll back a migration","Demonstrate the agreed recovery objectives with saved results","NOT_RUN"
"AC-OPS-07","Retry exhaustion is visible","R07;R09","09;10;15","T12","P1","4","controlled-integration","","A job repeatedly fails within bounded retry policy","Exhaust retries","Move to a visible dead-letter/escalation state, not an infinite loop","NOT_RUN"
"AC-OPS-08","Targets are not fabricated","R07;R09","09;10;15","T12","P1","4","contract","TC-OPS-08-unavailable;TC-OPS-08-measured","Latency or uptime targets have not been measured","Produce the operations report","Label them proposed or UNAVAILABLE rather than achieved SLAs","NOT_RUN"
"AC-REP-01","Partial scans stay explicit","R09;R10","06;10;15","T13","P1","5","contract","TC-REP-01-partial","One or more sources are incomplete","Build the daily summary","Show INCOMPLETE coverage and exclude unsupported all-clear claims","NOT_RUN"
"AC-REP-02","Conditional cases are separated","R09;R10","06;10;15","T13","P1","5","contract","TC-REP-02-separate","Verified and conditional candidates coexist","Build the shortlist","Keep conditional candidates in a separate queue","NOT_RUN"
"AC-REP-03","Zero verified matches is honest","R09;R10","06;10;15","T13","P1","5","contract","TC-REP-03-zero","All candidates are conditional or fail mandatory gates","Build the report","Return no verified matches with reasons; do not invent recommendations","NOT_RUN"
"AC-REP-04","Pipeline works on real implementation","R09;R10","06;10;15","T13","P1","5","controlled-integration","","An approved test environment has implemented ingestion, cases, mocked transports and reporting","Execute end-to-end fixtures against actual application modules","Trace observations through inquiries and replies to reassessment without live contacts","NOT_RUN"
"AC-REP-05","Report claims trace to evidence","R09;R10","06;10;15","T13","P1","5","manual","","A report contains rent, permission and cost claims","Audit each claim","Find matching scoped evidence, dates and status; no unsupported narrative","NOT_RUN"
"AC-COST-01","New paid commitments need approval","R12","02;08;15","T12","P1","1","contract","TC-COST-01-approval;TC-COST-01-approved","A paid API/subscription is proposed without PM approval","Authorize spend","Deny with PAID_APPROVAL_REQUIRED","NOT_RUN"
"AC-COST-02","Spend caps stop work","R12","02;08;15","T12","P1","1","contract","TC-COST-02-cap","Projected usage would exceed the approved ceiling","Authorize another billable operation","Deny with BUDGET_EXCEEDED","NOT_RUN"
"AC-COST-03","Free-first does not invent zero cost","R12","02;08;15","T12","P1","1","contract","TC-COST-03-report","Existing subscriptions, hardware or operations costs are unknown","Produce the cost report","Separate existing, incremental, estimated and UNAVAILABLE amounts","NOT_RUN"
"AC-COST-04","Max is not model API credit","R12","02;08;15","T12","P1","1","contract","TC-COST-04-max-api;TC-COST-04-approved-api","The proposed runtime tries to bill model API usage against Max","Validate execution mode","Deny unsupported billing assumptions","NOT_RUN"
"AC-COST-05","Permission revocation halts metered work","R12","02;08;15","T12","P1","1","contract","TC-COST-05-revoked","Previously approved paid access is revoked","Attempt another metered operation","Deny even if the job predates revocation","NOT_RUN"
"AC-GATE-01","Offline means no live actions","R09;R13","16;17;18","T13","P0","1","contract","TC-GATE-01-email_send;TC-GATE-01-form_submit;TC-GATE-01-source_read;TC-GATE-01-private_mail_read","A Phase 1 job requests email/form/source/private-mail access","Authorize the operation","Deny all external actions in the offline phase","NOT_RUN"
